测试模块,测试ID,测试场景,测试步骤,预期结果,测试目的,优先级,状态,测试人,测试日期,备注
志愿者-签到,V-CI-001,首次签到,"1. 打开志愿者页面
2. 点击""签到""按钮","- 显示签到成功提示
- 状态变为""工作中""
- 显示当前工作时长计时器
- 签到按钮变为签退按钮",验证基本签到流程,P0,,,,,
志愿者-签到,V-CI-002,重复签到,"1. 已签到状态
2. 尝试再次点击签到","- 按钮不可点击或显示""已签到""
- 不触发新的签到记录",防止重复签到,P0,,,,,
志愿者-签到,V-CI-003,网络异常签到,"1. 断开网络
2. 点击签到按钮","- 显示网络错误提示
- 签到状态不变
- 提供重试选项",验证错误处理,P1,,,,,
志愿者-签到,V-CI-004,签到时间准确性,"1. 记录系统时间
2. 点击签到
3. 检查签到记录时间","- 签到时间误差<1秒
- 时间格式正确(YYYY-MM-DD HH:mm:ss)",确保时间同步,P0,,,,,
志愿者-签到,V-CI-005,权限验证-普通用户,"1. 普通用户登录
2. 访问志愿者页面","- 显示""无权限访问""提示
- 不显示签到按钮",验证权限控制,P0,,,,,
志愿者-签到,V-CI-006,权限验证-Staff,"1. Staff角色登录
2. 访问志愿者页面","- 显示个人志愿者数据
- 可以签到/签退
- 不显示管理功能",验证Staff权限,P0,,,,,
志愿者-签到,V-CI-007,权限验证-管理员,"1. 管理员登录
2. 访问志愿者页面","- 显示快捷操作区
- 显示学校管理界面
- 可以签到/签退",验证管理员权限,P0,,,,,
志愿者-签到,V-CI-008,自动签退状态记录,"1. 签到成功
2. 检查是否记录自动签退标记","- AsyncStorage中有recordedAutoCheckout标记
- 标记包含userId、recordId",验证自动签退准备,P1,,,,,
志愿者-签到,V-CI-009,下拉刷新后状态更新,"1. 签到成功
2. 下拉刷新页面","- 状态保持为""工作中""
- 工作时长继续计时
- 签到时间不变",验证状态持久性,P1,,,,,
志愿者-签到,V-CI-010,多语言签到提示,"1. 切换语言为English
2. 点击签到","- 成功提示为英文
- 按钮文字为""Check In""
- 错误提示为英文",验证国际化,P1,,,,,
志愿者-签退,V-CO-001,正常签退,"1. 已签到状态
2. 点击""签退""按钮
3. 填写工作描述
4. 确认签退","- 跳转到签退页面
- 显示正确的签到时间
- 计算工作时长准确
- 签退成功后返回志愿者首页",验证基本签退流程,P0,,,,,
志愿者-签退,V-CO-002,签退无签到记录,"1. 未签到状态
2. 尝试访问签退页面","- 不显示签退按钮
- 或显示""请先签到""提示",防止无效签退,P0,,,,,
志愿者-签退,V-CO-003,签退时间计算,"1. 签到时间: 09:00
2. 签退时间: 12:30
3. 检查工作时长","- 显示""3小时30分钟""
- 或""3.5小时""
- 时长计算准确",验证时长计算,P0,,,,,
志愿者-签退,V-CO-004,跨天签退,"1. 今天23:00签到
2. 明天01:00签退","- 正确计算为2小时
- 日期显示正确",验证跨天处理,P1,,,,,
志愿者-签退,V-CO-005,签退页面返回,"1. 进入签退页面
2. 点击返回按钮","- 返回志愿者首页
- 状态仍为""工作中""
- 不触发签退",验证页面导航,P1,,,,,
志愿者-签退,V-CO-006,签退后立即刷新,"1. 完成签退
2. 从签退页面返回
3. 检查状态","- 状态立即变为""已签退""
- 不显示工作时长计时器
- 显示最近签退记录",验证状态同步,P0,,,,,
志愿者-签退,V-CO-007,签退后历史记录,"1. 完成签退
2. 查看历史记录","- 新记录出现在列表顶部
- 显示完整时间和时长
- 状态为""待审核""",验证记录创建,P1,,,,,
志愿者-签退,V-CO-008,管理员签退真实时间,"1. 管理员签到
2. 等待5分钟
3. 点击签退","- 签退页面显示真实签到时间
- 工作时长显示为5分钟
- 不使用当前时间作为签到时间",修复真实时间bug,P0,,,,,
志愿者-签退,V-CO-009,签退网络中断,"1. 进入签退流程
2. 断开网络
3. 提交签退","- 显示网络错误
- 签退未成功
- 状态仍为""工作中""",验证错误处理,P1,,,,,
志愿者-签退,V-CO-010,签退多语言,"1. 切换为English
2. 进行签退流程","- 所有文字为英文
- 时间格式符合英文习惯
- 提示信息为英文",验证国际化,P1,,,,,
志愿者-工时,V-HT-001,总工时统计,"1. 完成多次签到签退
2. 查看总工时","- 累计时长准确
- 格式为""XX小时""或""XX.X小时""",验证统计准确性,P0,,,,,
志愿者-工时,V-HT-002,实时工时更新,"1. 签到后停留在页面
2. 观察当前工时","- 每分钟更新一次
- 显示""Xh Xm""格式
- 数值递增",验证实时计时,P1,,,,,
志愿者-工时,V-HT-003,历史记录分页,"1. 拥有10+条记录
2. 查看历史记录","- 默认显示前5条
- 可展开查看更多
- 有""显示更多""提示",验证列表性能,P2,,,,,
志愿者-工时,V-HT-004,记录状态标识,1. 查看历史记录列表,"- 已审核:绿色徽章
- 待审核:黄色徽章
- 已拒绝:红色徽章",验证状态可视化,P1,,,,,
志愿者-工时,V-HT-005,无记录状态,1. 新用户访问志愿者页面,"- 显示""暂无志愿者工作记录""
- 总工时为0
- 总记录数为0",验证空状态显示,P2,,,,,
志愿者-工时,V-HT-006,工时统计API失败,"1. 模拟API 19失败
2. 访问志愿者页面","- 显示0工时
- 不影响签到功能
- 显示友好错误提示",验证容错性,P1,,,,,
志愿者-工时,V-HT-007,最近记录展示,"1. 有多条完整记录
2. 查看最近记录卡片","- 显示最新完整记录
- 包含签到/签退时间
- 显示工作时长",验证记录优先级,P1,,,,,
志愿者-工时,V-HT-008,工作中状态优先,"1. 正在工作中
2. 查看最近记录","- 优先显示当前工作会话
- 显示""工作中""状态
- 不显示签退时间",验证状态优先级,P1,,,,,
志愿者-工时,V-HT-009,补录工时功能,"1. 点击""补录工时""按钮
2. 填写时间和描述
3. 提交","- 跳转到TimeEntry页面
- 可以手动选择时间
- 提交成功后更新总工时",验证手动录入,P1,,,,,
志愿者-工时,V-HT-010,工时导出功能,"1. 查看历史记录
2. 寻找导出选项","- (如实现)可导出CSV/PDF
- 包含所有记录详情
- 格式正确",验证数据导出,P2,,,,,
志愿者-管理,V-ADM-001,学校列表查看,"1. 总管理员登录
2. 访问志愿者页面","- 显示所有学校列表
- 显示每个学校的志愿者统计
- 可点击进入学校详情",验证管理视图,P0,,,,,
志愿者-管理,V-ADM-002,分管理员自动跳转,"1. 分管理员登录
2. 访问志愿者页面","- 自动跳转到所属学校详情
- 不显示其他学校
- 显示提示信息",验证权限隔离,P0,,,,,
志愿者-管理,V-ADM-003,学校详情查看,"1. 点击某个学校
2. 查看详情页","- 显示该校所有志愿者
- 显示签到/签退状态
- 可查看个人工时",验证详情页,P1,,,,,
志愿者-管理,V-ADM-004,搜索志愿者,"1. 在志愿者列表
2. 使用搜索功能","- 可按姓名搜索
- 可按学号搜索
- 实时过滤结果",验证搜索功能,P1,,,,,
志愿者-管理,V-ADM-005,管理员快捷签到,"1. 管理员访问页面
2. 使用快捷签到按钮","- 无需跳转即可签到
- 签到成功后按钮变为签退
- 显示当前工作状态",验证快捷操作,P1,,,,,
志愿者-管理,V-ADM-006,管理员状态刷新,"1. 管理员签到/签退
2. 离开页面再返回","- 状态正确保持
- 显示最近活动记录
- 工时统计更新",验证状态持久化,P1,,,,,
志愿者-管理,V-ADM-007,志愿者详情查看,"1. 点击某个志愿者
2. 查看详细信息","- 显示��人基本信息
- 显示完整工时记录
- 显示统计数据",验证详情查看,P1,,,,,
志愿者-管理,V-ADM-008,审核志愿者工时,"1. 查看待审核记录
2. 审核通过/拒绝","- 可批量审核
- 状态立即更新
- 发送通知给志愿者",验证审核流程,P1,,,,,
志愿者-管理,V-ADM-009,导出学校报表,"1. 在学校详情页
2. 点击导出按钮","- 导出该校所有数据
- 包含统计信息
- 格式规范",验证报表功能,P2,,,,,
志愿者-管理,V-ADM-010,权限边界测试,1. 分管理员尝试访问其他学校,"- 无法查看其他学校数据
- 显示权限不足提示
- 自动返回自己学校",验证权限控制,P0,,,,,
活动-浏览,A-BR-001,活动列表加载,1. 打开活动页面,"- 显示骨架屏
- 300ms后显示活动列表
- 瀑布流布局正确",验证加载体验,P0,,,,,
活动-浏览,A-BR-002,下拉刷新,"1. 在活动列表顶部
2. 下拉刷新","- 显示刷新动画
- 触觉反馈(iOS)
- 数据更新
- 显示刷新进度",验证刷新交互,P1,,,,,
活动-浏览,A-BR-003,上拉加载更多,"1. 滚动到列表底部
2. 触发加载更多","- 显示loading指示器
- 加载下一页数据
- 无重复数据",验证分页加载,P1,,,,,
活动-浏览,A-BR-004,筛选-全部活动,"1. 默认查看""全部""
2. 检查活动列表","- 包含所有状态活动
- 包含已结束和可报名",验证筛选逻辑,P1,,,,,
活动-浏览,A-BR-005,筛选-可报名,"1. 点击""可报名""筛选
2. 检查活动列表","- 只显示未结束活动
- 报名截止时间>当前时间
- 不显示已结束活动",验证时间筛选,P0,,,,,
活动-浏览,A-BR-006,筛选-已结束,"1. 点击""已结束""筛选
2. 检查活动列表","- 只显示已结束活动
- 活动结束时间<当前时间
- 不与""可报名""重复",验证互斥筛选,P0,,,,,
活动-浏览,A-BR-007,搜索功能,"1. 在搜索框输入关键词
2. 查看结果","- 实时过滤活动
- 匹配标题和地点
- 支持中英文搜索",验证搜索功能,P1,,,,,
活动-浏览,A-BR-008,地理位置排序,"1. 启用位置权限
2. 查看活动列表","- 优先显示用户学校活动
- 显示距离信息
- 排序准确",验证位置功能,P1,,,,,
活动-浏览,A-BR-009,网络错误状态,"1. 断开网络
2. 刷新活动列表","- 显示网络错误图标
- 显示友好错误信息
- 提供重试按钮",验证错误处理,P1,,,,,
活动-浏览,A-BR-010,空状态显示,"1. 搜索不存在的活动
2. 查看结果","- 显示""未找到结果""
- 显示搜索关键词
- 提供清除搜索建议",验证空状态,P2,,,,,
活动-详情,A-DT-001,活动详情加载,"1. 点击任一活动卡片
2. 进入详情页","- 平滑过渡动画
- 显示完整活动信息
- 加载封面图片",验证详情展示,P0,,,,,
活动-详情,A-DT-002,报名状态-未登录,"1. 未登录状态
2. 查看活动详情","- 显示""立即报名""按钮
- 点击跳转登录页
- 返回后保留活动ID",验证未登录流程,P0,,,,,
活动-详情,A-DT-003,报名状态-已报名,"1. 已报名用户
2. 查看已报名活动","- 显示""已报名""状态
- 显示报名时间
- 显示二维码按钮",验证已报名状态,P0,,,,,
活动-详情,A-DT-004,报名状态-已签到,"1. 已签到用户
2. 查看活动详情","- 显示""已签到""状态
- 显示签到时间
- 不可取消报名",验证签到状态,P0,,,,,
活动-详情,A-DT-005,报名状态-已结束,"1. 活动已结束
2. 查看详情","- 显示""活动已结束""
- 报名按钮不可点击
- 显示活动回顾",验证结束状态,P1,,,,,
活动-详情,A-DT-006,报名人数统计,"1. 查看活动详情
2. 检查人数显示","- 显示已报名/总人数
- 格式:""X/Y人""
- 数据准确",验证统计准确性,P1,,,,,
活动-详情,A-DT-007,活动时间显示,"1. 查看活动详情
2. 检查时间格式","- 日期格式正确
- 时区正确
- 多语言格式适配",验证时间格式化,P1,,,,,
活动-详情,A-DT-008,活动地点导航,"1. 点击活动地点
2. 查看地图","- (如实现)打开地图应用
- 显示正确位置
- 提供导航选项",验证地图集成,P2,,,,,
活动-详情,A-DT-009,分享活动,"1. 点击分享按钮
2. 选择分享方式","- 显示分享选项
- 包含活动链接
- 包含活动海报",验证分享功能,P2,,,,,
活动-详情,A-DT-010,返回列表刷新,"1. 从详情页返回列表
2. 检查列表状态","- 保持滚动位置
- 更新报名状态
- 不重新加载数据",验证状态同步,P1,,,,,
活动-报名,A-REG-001,正常报名,"1. 点击""立即报名""
2. 填写表单
3. 提交","- 显示loading动画
- 报名成功提示
- 状态变为""已报名""
- 发送activityRegistered事件",验证报名流程,P0,,,,,
活动-报名,A-REG-002,报名表单验证,"1. 点击报名
2. 不填写必填项
3. 提交","- 显示字段错误提示
- 高亮错误字段
- 不允许提交",验证表单验证,P0,,,,,
活动-报名,A-REG-003,报名成功状态同步,"1. 报名成功
2. 返回活动列表
3. 检查卡片状态","- 卡片立即显示""已报名""
- 报名人数+1
- 不需要刷新页面",验证状态缓存,P0,,,,,
活动-报名,A-REG-004,报名后刷新验证,"1. 报名成功
2. 下拉刷新列表
3. 检查状态","- 状态仍为""已报名""
- API返回registered状态
- 缓存和API一致",验证状态持久化,P0,,,,,
活动-报名,A-REG-005,重复报名拦截,"1. 已报名状态
2. 尝试再次报名","- 按钮显示""已报名""
- 不可点击
- 不触发API请求",防止重复报名,P0,,,,,
活动-报名,A-REG-006,报名满员处理,"1. 报名人数已满
2. 尝试报名","- 显示""报名已满""
- 报名按钮禁用
- 提供候补选项(如实现)",验证满员逻辑,P1,,,,,
活动-报名,A-REG-007,报名网络失败,"1. 断开网络
2. 点击报名","- 显示网络错误
- 状态不变
- 提供重试选项",验证错误处理,P1,,,,,
活动-报名,A-REG-008,报名超时处理,"1. 模拟API超时
2. 报名操作","- 显示超时提示
- 状态不变
- 建议检查""我的活动""",验证超时处理,P1,,,,,
活动-报名,A-REG-009,取消报名,"1. 已报名状态
2. 点击""取消报名""","- 显示确认对话框
- 确认后取消成功
- 状态变为""立即报名""",验证取消流程,P1,,,,,
活动-报名,A-REG-010,报名多语言,"1. 切换为English
2. 进行报名流程","- 所有文字为英文
- 表单标签为英文
- 错误提示为英文",验证国际化,P1,,,,,
活动-签到,A-CI-001,扫码签到,"1. 进入活动详情
2. 点击""签到""
3. 扫描二维码","- 打开相机
- 识别二维码
- 签到成功
- 发送activitySignedIn事件",验证扫码签到,P0,,,,,
活动-签到,A-CI-002,签到时间验证,"1. 活动开始前1小时
2. 尝试签到","- 允许签到或提示""未到签到时间""
- 根据业务规则决定",验证时间规则,P1,,,,,
活动-签到,A-CI-003,签到状态同步,"1. 签到成功
2. 返回活动列表
3. 检查状态","- 状态立即变为""已签到""
- 不需要刷新
- 缓存更新",验证状态同步,P0,,,,,
活动-签到,A-CI-004,重复签到拦截,"1. 已签到状态
2. 尝试再次扫码","- 显示""已签到""提示
- 不创建新记录
- 显示签到时间",防止重复签到,P0,,,,,
活动-签到,A-CI-005,未报名签到,"1. 未报名活动
2. 尝试签到","- 显示""请先报名""
- 提供报名按钮
- 不允许签到",验证前置条件,P0,,,,,
活动-签到,A-CI-006,签到二维码展示,"1. 已报名用户
2. 点击""我的二维码""","- 显示个人签到码
- 包含用户信息
- 可保存到相册",验证二维码生成,P1,,,,,
活动-签到,A-CI-007,签到网络异常,"1. 断开网络
2. 扫码签到","- 显示网络错误
- 状态不变
- 提供离线签到(如支持)",验证错误处理,P1,,,,,
活动-签到,A-CI-008,签到后详情查看,"1. 签到成功
2. 查看活动详情","- 显示签到时间
- 显示签到地点
- 不可取消签到",验证详情展示,P1,,,,,
活动-签到,A-CI-009,签到统计更新,"1. 签到成功
2. 查看活动签到人数","- 签到人数+1
- 统计实时更新
- 数据准确",验证统计功能,P1,,,,,
活动-签到,A-CI-010,签到多语言,"1. 切换语言
2. 进行签到","- 提示文字正确翻译
- 状态标签正确
- 时间格式适配",验证国际化,P1,,,,,
认证-注册,AUTH-R-001,注册选择页面,1. 从登录页点击"注册","- 显示注册方式选择
- 显示二维码注册(推荐)
- 显示普通注册
- 显示注册优势说明",验证注册入口,P0,,,,,
认证-注册,AUTH-R-002,二维码注册,"1. 选择二维码注册
2. 扫描邀请码","- 打开相机
- 识别二维码
- 自动跳转注册表单
- 预填邀请信息",验证邀请注册,P1,,,,,
认证-注册,AUTH-R-003,普通注册-地域检测,"1. 选择普通注册
2. 等待检测","- 显示地域检测loading
- 检测用户IP位置
- 显示2秒最少loading
- 自动选择隐私协议版本",验证地域检测,P0,,,,,
认证-注册,AUTH-R-004,地域检测失败,"1. 检测失败场景
2. 查看选项","- 显示手动选择对话框
- 提供""中国""和""美国""选项
- 可取消",验证fallback逻辑,P1,,,,,
认证-注册,AUTH-R-005,隐私协议-中国版,"1. 检测为中国IP
2. 查看隐私协议","- 显示中文隐私协议
- 包含中国法律条款
- 可滚动查看全文",验证协议版本,P0,,,,,
认证-注册,AUTH-R-006,隐私协议-美国版,"1. 检测为美国IP
2. 查看隐私协议","- 显示英文隐私协议
- 包含GDPR/CCPA条款
- 符合美国法律",验证协议版本,P0,,,,,
认证-注册,AUTH-R-007,拒绝隐私协议,"1. 点击""不同意""
2. 查看结果","- 返回登录页面
- 不进入注册流程
- 不保存任何数据",验证拒绝逻辑,P1,,,,,
认证-注册,AUTH-R-008,同意隐私协议,"1. 点击""同意""
2. 查看结果","- 跳转到身份选择页
- 携带检测结果
- 可进行注册",验证同意流程,P0,,,,,
认证-注册,AUTH-R-009,注册表单验证,"1. 填写注册信息
2. 提交表单","- 验证邮箱格式
- 验证密码强度(≥6位)
- 验证必填项
- 显示实时错误提示",验证表单验证,P0,,,,,
认证-注册,AUTH-R-010,注册成功,"1. 完成注册
2. 检查结果","- 自动登录
- 跳转到主页
- 保存token
- 显示欢迎提示",验证注册成功,P0,,,,,
认证-登录,AUTH-L-001,登录页面展示,"1. 打开App
2. 访问登录页","- 显示PomeloX Logo
- 显示欢迎文字
- 显示登录表单
- 平滑入场动画",验证页面展示,P0,,,,,
认证-登录,AUTH-L-002,邮箱/用户名输入,"1. 输入用户名
2. 输入邮箱","- 两种格式都支持
- 实时验证邮箱格式
- 显示输入焦点状态
- 错误提示准确",验证输入支持,P0,,,,,
认证-登录,AUTH-L-003,密码输入,"1. 输入密码
2. 点击显示/隐藏","- 默认隐藏密码
- 可切换显示/隐藏
- 图标状态变化
- 最少6位验证",验证密码输入,P0,,,,,
认证-登录,AUTH-L-004,表单验证-空值,"1. 不输入信息
2. 点击登录","- 按钮禁用状态
- 显示灰色背景
- 无阴影效果
- 不触发API",验证空值处理,P0,,,,,
认证-登录,AUTH-L-005,表单验证-有效,"1. 输入有效信息
2. 观察按钮","- 按钮变为橙色
- 显示阴影效果
- 颜色过渡动画
- 可点击",验证动态样式,P1,,,,,
认证-登录,AUTH-L-006,登录成功,"1. 输入正确信息
2. 点击登录","- 显示loading
- 保存token
- 跳转到主页
- 保存""记住我""状态",验证登录成功,P0,,,,,
认证-登录,AUTH-L-007,登录失败-错误密码,"1. 输入错误密码
2. 点击登录","- 显示错误对话框
- 提示""用户名或密码错误""
- 提供重试选项
- 不保存token",验证错误处理,P0,,,,,
认证-登录,AUTH-L-008,登录失败-网络错误,"1. 断开网络
2. 点击登录","- 显示网络错误提示
- 提供重试按钮
- 友好错误文案",验证网络处理,P1,,,,,
认证-登录,AUTH-L-009,记住我功能,"1. 勾选""记住我""
2. 登录成功
3. 下次打开","- 保存用户邮箱
- 自动填充邮箱
- 不保存密码",验证记住功能,P1,,,,,
认证-登录,AUTH-L-010,跳过登录,"1. 点击""跳过""按钮
2. 查看结果","- 进入访客模式
- 可浏览活动
- 报名需登录
- 功能受限提示",验证访客模式,P1,,,,,
认证-登录,AUTH-L-011,登录动画,"1. 观察登录页面
2. 进行交互","- 入场淡入+上滑动画
- 按钮颜色过渡
- 焦点状态动画
- loading旋转动画",验证动画效果,P2,,,,,
认证-登录,AUTH-L-012,登录多语言,"1. 切换为English
2. 查看登录页","- 所有文字翻译正确
- 占位符为英文
- 错误提示为英文
- 按钮文字为英文",验证国际化,P1,,,,,
国际化,I18N-001,语言切换-中文,"1. 打开App
2. 切换为中文","- 所有界面文字为中文
- 日期格式为""2025年1月1日""
- 时间为24小时制",验证中文支持,P0,,,,,
国际化,I18N-002,语言切换-英文,"1. 打开App
2. 切换为English","- 所有界面文字为英文
- 日期格式为""Jan 1, 2025""
- 时间为12小时制(AM/PM)",验证英文支持,P0,,,,,
国际化,I18N-003,翻译完整性-志愿者,"1. 切换语言
2. 遍历志愿者所有页面","- 所有文字有翻译
- 无翻译键显示(如""volunteer.signin"")
- 术语统一",验证翻译覆盖,P0,,,,,
国际化,I18N-004,翻译完整性-活动,"1. 切换语言
2. 遍历活动所有页面","- 所有文字有翻译
- 状态标签正确
- 按钮文字正确",验证翻译覆盖,P0,,,,,
国际化,I18N-005,翻译完整性-认证,"1. 切换语言
2. 测试登录/注册","- 表单标签翻译
- 错误提示翻译
- 按钮文字翻译",验证翻译覆盖,P0,,,,,
国际化,I18N-006,数字格式化,"1. 查看工时统计
2. 检查数字显示","- 英文:1,234.56
- 中文:1,234.56
- 格式正确",验证数字格式,P1,,,,,
国际化,I18N-007,相对时间,"1. 查看活动时间
2. 切换语言","- 英文:""2 hours ago""
- 中文:""2小时前""
- 实时更新",验证时间格式,P1,,,,,
国际化,I18N-008,复数形式,"1. 查看报名人数
2. 切换语言","- 英文:""1 person"", ""2 people""
- 中文:""1人"", ""2人""
- 复数规则正确",验证复数处理,P1,,,,,
国际化,I18N-009,长文本适配,"1. 切换语言
2. 检查UI布局","- 文字不溢出
- 按钮大小适配
- 长德语/法语不破坏布局",验证布局适配,P2,,,,,
国际化,I18N-010,语言持久化,"1. 切换语言
2. 关闭App
3. 重新打开","- 保持上次选择
- 不重置为默认
- 立即显示正确语言",验证设置保存,P1,,,,,
动画Loading,ANIM-L-001,骨架屏-活动列表,"1. 首次打开活动页
2. 观察加载过程","- 显示3个骨架卡片
- 灰色脉动效果
- 300ms后显示真实数据
- 平滑过渡",验证骨架屏,P1,,,,,
动画Loading,ANIM-L-002,Loading指示器-登录,"1. 点击登录按钮
2. 观察loading","- 按钮显示LoaderOne组件
- 旋转动画流畅
- 颜色为白色
- 大小适中",验证loading样式,P1,,,,,
动画Loading,ANIM-L-003,Loading指示器-签到,"1. 点击签到
2. 观察loading","- 显示操作进行中
- 按钮禁用
- loading动画
- 完成后恢复",验证操作loading,P1,,,,,
动画Loading,ANIM-L-004,下拉刷新动画,"1. 在活动列表下拉
2. 观察动画","- 显示刷新图标
- 720度旋转
- 缩放效果(1→1.15→1)
- 进度条显示",验证刷新动画,P1,,,,,
动画Loading,ANIM-L-005,地域检测Loading,"1. 普通注册
2. 观察检测过程","- 显示全屏遮罩
- 显示""检测地理位置""
- LoaderOne大尺寸
- 最少2秒显示",验证特殊loading,P1,,,,,
动画Loading,ANIM-L-006,加载更多指示器,"1. 滚动到列表底部
2. 触发加载","- 底部显示小型loader
- 颜色为主题色
- 数据加载完成后消失",验证分页loading,P1,,,,,
动画Loading,ANIM-L-007,网络超时Loading,"1. 模拟慢网络
2. 执行操作","- Loading持续显示
- 2分钟后超时
- 显示超时提示
- 提供取消选项",验证超时处理,P1,,,,,
动画Loading,ANIM-L-008,Loading文案准确性,"1. 遍历所有loading场景
2. 检查文案","- 文案描述准确
- 符合操作语境
- 多语言翻译正确",验证文案质量,P2,,,,,
动画Loading,ANIM-L-009,Loading禁用交互,"1. Loading期间
2. 尝试点击其他按钮","- 相关按钮禁用
- 点击无效
- 视觉反馈正确",验证交互阻止,P1,,,,,
动画Loading,ANIM-L-010,Loading动画性能,"1. 观察各种loading
2. 检查帧率","- 动画流畅≥55fps
- 不掉帧
- 不影响其他交互",验证性能,P1,,,,,
动画过渡,ANIM-T-001,登录页入场,"1. 打开登录页
2. 观察动画","- 淡入效果(0→1)
- 上滑效果(50px→0)
- 600ms时长
- 贝塞尔曲线缓动",验证入场动画,P2,,,,,
动画过渡,ANIM-T-002,活动详情进入,"1. 点击活动卡片
2. 观察过渡","- 卡片放大效果
- 平滑过渡
- 300ms时长",验证详情动画,P2,,,,,
动画过渡,ANIM-T-003,返回动画,"1. 从详情页返回
2. 观察动画","- 反向过渡
- 保持流畅
- 不闪烁",验证返回动画,P2,,,,,
动画过渡,ANIM-T-004,模态框弹出,"1. 打开筛选模态框
2. 观察动画","- 从底部滑入
- 背景渐变遮罩
- 300ms时长",验证模态框动画,P2,,,,,
动画过渡,ANIM-T-005,按钮动态样式,"1. 输入表单
2. 观察登录按钮","- 颜色从灰色→橙色
- 阴影从无→有
- 300ms过渡
- 插值平滑",验证按钮动画,P2,,,,,
边缘情况,EDGE-001,快速连续点击签到,"1. 快速点击签到按钮5次
2. 检查结果","- 只创建1条记录
- 显示防抖保护
- 不重复请求",验证防抖,P0,,,,,
边缘情况,EDGE-002,快速连续点击报名,"1. 快速点击报名按钮5次
2. 检查结果","- 只报名1次
- API只调用一次
- 状态正确",验证防重复,P0,,,,,
边缘情况,EDGE-003,时区切换,"1. 切换系统时区
2. 查看活动时间","- 时间显示正确
- 自动转换时区
- 不出现错误",验证时区处理,P1,,,,,
边缘情况,EDGE-004,系统时间异常,"1. 将系统时间设为2030年
2. 使用App","- 活动状态判断正确
- 签到功能正常
- 不崩溃",验证时间容错,P1,,,,,
边缘情况,EDGE-005,内存不足,"1. 加载大量活动
2. 切换多个页面","- 不崩溃
- 自动释放内存
- 性能平稳",验证内存管理,P1,,,,,
边缘情况,EDGE-006,弱网环境,"1. 限制网络为2G
2. 使用各功能","- 显示loading
- 最终加载成功
- 超时提示友好",验证弱网处理,P1,,,,,
边缘情况,EDGE-007,Token过期,"1. Token过期
2. 执行操作","- 自动跳转登录
- 提示""登录已过期""
- 保存返回路径",验证token管理,P0,,,,,
边缘情况,EDGE-008,同时签到+签退,"1. 签到后立即签退
2. 检查记录","- 签退使用正确签到时间
- 时长≥1分钟
- 数据一致",验证并发处理,P0,,,,,
边缘情况,EDGE-009,超长文本输入,"1. 输入1000字的活动名
2. 搜索或显示","- 文字截断显示
- 不破坏布局
- 提供展开选项",验证文本处理,P2,,,,,
边缘情况,EDGE-010,特殊字符输入,"1. 输入emoji、符号
2. 提交表单","- 正确处理特殊字符
- 不出现乱码
- 验证通过",验证字符处理,P1,,,,,
性能测试,PERF-001,列表滚动帧率,"1. 加载100+活动
2. 快速滚动","- 帧率≥55fps
- 无明显卡顿
- 图片懒加载",验证滚动性能,P1,,,,,
性能测试,PERF-002,图片加载性能,"1. 进入活动列表
2. 观察图片加载","- 使用FastImage
- 2秒内加载完成
- 有占位图",验证图片优化,P1,,,,,
性能测试,PERF-003,内存占用,"1. 使用App 30分钟
2. 检查内存","- 内存增长<200MB
- 无明显泄漏
- 自动释放",验证内存控制,P1,,,,,
性能测试,PERF-004,启动时间,"1. 冷启动App
2. 记录时间","- 首屏显示<2秒
- 可交互<3秒
- 符合预期",验证启动性能,P1,,,,,
性能测试,PERF-005,API响应时间,"1. 执行各类操作
2. 记录响应","- 列表加载<1秒
- 签到/报名<500ms
- 符合预期",验证API性能,P1,,,,,
性能测试,PERF-006,页面切换流畅度,"1. 快速切换Tab
2. 观察动画","- 切换无延迟
- 动画流畅
- 无白屏",验证导航性能,P1,,,,,
性能测试,PERF-007,状态更新性能,"1. 报名活动
2. 观察状态更新","- 立即更新UI
- 不重新渲染整个列表
- 使用React.memo",验证渲染优化,P1,,,,,
性能测试,PERF-008,网络请求优化,"1. 监控网络请求
2. 统计数量","- 无重复请求
- 使用缓存
- 批量加载",验证网络优化,P1,,,,,
性能测试,PERF-009,低端设备性能,"1. 在iPhone 8测试
2. 执行所有功能","- 功能正常
- 性能可接受
- 无崩溃",验证兼容性,P2,,,,,
性能测试,PERF-010,性能降级策略,"1. 检测到性能问题
2. 观察调整","- 禁用复杂动画
- 简化效果
- 保持可用性",验证降级策略,P2,,,,,